z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
0.034,96,781229,1596932000.0,138524670.0,176574100.0,1281833100.0,0.036545623,61.513107,7.5761414,31.927372,1.1697508
0.034,96,781266,1345451400.0,83557600.0,161559120.0,1100334600.0,0.04444351,62.19885,15.117375,33.786987,1.1032782
0.034,96,781394,3192311000.0,308887260.0,346074660.0,2537349000.0,0.089218244,68.61101,7.4390273,35.623745,1.7211471
0.034,96,781460,617802430.0,69859740.0,115976270.0,431966460.0,0.027632035,55.34941,15.645554,30.476883,0.71492666
0.034,96,781559,1083496600.0,76110856.0,162963980.0,844421800.0,0.020647995,56.78089,12.662931,30.105259,0.9754468
0.034,96,781595,2661260800.0,178460740.0,381530100.0,2099937700.0,0.037005723,67.868164,5.8836884,35.31039,1.3780717
0.034,96,781622,1735503100.0,122330344.0,281881280.0,1331291500.0,0.030798515,64.398575,12.51443,34.130325,1.1486806
0.034,96,781733,886266600.0,85947780.0,155545360.0,644773440.0,0.059891902,50.761112,14.475112,28.749418,0.79500824
0.034,96,781817,2968863700.0,221046290.0,379715840.0,2368101600.0,0.040920895,65.96803,13.952858,35.572174,1.8393168
0.034,96,782264,1669318400.0,144894820.0,225348140.0,1299075500.0,0.046212323,62.035355,12.506155,33.27141,1.0720508
0.034,96,782323,963143040.0,56886904.0,133980020.0,772276100.0,0.03376011,58.645485,13.349357,32.081173,0.8149962
0.034,96,782408,1561582600.0,156840660.0,186433200.0,1218308600.0,0.056121882,60.49802,14.510622,32.96515,1.1696478
0.034,96,782535,1198526500.0,56641984.0,159977620.0,981906940.0,0.017338572,64.37865,11.947673,35.2492,0.924706
0.034,96,782629,1368665900.0,57698748.0,158451660.0,1152515500.0,0.026138438,62.818455,11.407001,33.17752,1.0633726
0.034,96,782715,1975553300.0,180230190.0,219008600.0,1576314500.0,0.036199503,62.511543,10.132129,33.455498,1.3250066
0.034,96,782779,765317500.0,38721340.0,120391170.0,606205000.0,0.019542098,62.861294,12.74119,33.685673,0.68205
0.034,96,782868,1226875400.0,70673170.0,148431780.0,1007770430.0,0.030464618,60.158436,13.643204,32.87931,0.91701245
0.034,96,783044,2352529000.0,63911180.0,242326400.0,2043219300.0,0.01914126,70.71092,7.4209137,37.810425,1.1476462
0.034,96,783059,1570971900.0,107210120.0,227756910.0,1236004700.0,0.036531005,66.199684,8.347698,34.022865,1.0245335
0.034,96,783280,2097887500.0,109582070.0,207805260.0,1780500200.0,0.030084852,67.65301,7.228059,36.381454,1.1402612
0.034,96,783703,1063768800.0,64049716.0,130341256.0,869377860.0,0.028481847,60.023113,10.963395,32.557487,0.91910547
0.034,96,783731,817669000.0,65880616.0,121534856.0,630253600.0,0.03599705,58.83482,17.437914,32.033752,0.8703751
0.034,96,783752,1222931800.0,109539336.0,137838080.0,975554400.0,0.033432323,58.783905,6.7955556,31.775038,0.9466878
0.034,96,783916,575506100.0,27015572.0,101096710.0,447393820.0,0.008627787,59.236946,12.160932,31.779337,0.7050001
0.034,96,783962,1654804400.0,125794760.0,236740320.0,1292269300.0,0.041017495,59.344387,10.992533,32.36645,1.1577253
0.034,96,783981,2255926800.0,121526460.0,232749650.0,1901650700.0,0.024584686,63.279007,10.307014,33.90927,1.4155087
0.034,96,784024,1296449000.0,104749784.0,214783490.0,976915600.0,0.04131099,62.160023,8.367826,32.562973,0.93228096
0.034,96,784120,1140304400.0,57731020.0,147855980.0,934717250.0,0.039036307,65.0144,8.818543,34.391045,0.86788476
0.034,96,784240,621380500.0,33190584.0,107218850.0,480971000.0,0.017676033,61.91246,13.556542,33.490253,0.5844701
0.034,96,784564,1206273900.0,98715620.0,162404850.0,945153400.0,0.02288296,61.100895,11.521751,33.040554,1.0029048
0.034,96,784586,985548800.0,41077890.0,114115310.0,830355700.0,0.015903039,59.568855,12.127425,31.330694,0.8322295
0.034,96,784680,2010250200.0,109644110.0,269388480.0,1631217800.0,0.030935269,67.1696,7.605196,34.3752,1.1965524
0.034,96,785048,1158296400.0,77897870.0,163831200.0,916567400.0,0.01876586,59.026997,13.626245,31.602842,1.0209589
0.034,96,785173,2097548500.0,86090380.0,310817200.0,1700640800.0,0.031589217,55.62319,15.479042,30.640398,1.6780925
