,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
2975,0.01,98,764990,2730367500.0,223623980.0,386387300.0,2120356400.0,0.060365066,66.631615,6.749825,34.028538,1.4671602
3002,0.01,98,768051,1229075000.0,78662580.0,201175150.0,949237200.0,0.050603744,64.07636,16.120264,34.512867,1.064604
3081,0.01,98,777695,4148433700.0,278200060.0,488916400.0,3381317000.0,0.10673561,72.73533,6.6244235,37.4332,1.7773259
3233,0.01,98,796694,1429437700.0,47694284.0,172509680.0,1209233700.0,0.014659997,64.25563,3.9476552,33.762417,0.8373425
3328,0.01,98,815749,620183230.0,48943300.0,122484890.0,448755040.0,0.021699604,53.883686,12.674307,28.92999,0.6818888
3354,0.01,98,832724,1005590500.0,48270040.0,127872240.0,829448100.0,0.031899337,56.36108,3.59487,28.798334,0.73721814
3448,0.024,97,207130,737348500.0,32586478.0,110808160.0,593953860.0,0.01130749,54.640804,8.210404,32.37552,0.67783487
3471,0.024,97,272444,67519290000.0,3416967000.0,22133440000.0,41933414000.0,0.9989501,170.79158,8.349871,85.54534,5.073936
3713,0.024,97,527910,123206060000.0,2752574000.0,46480440000.0,73809990000.0,0.889139,239.07489,1.2121484,110.16271,5.2504272
3831,0.024,97,590835,47250113000.0,3209126000.0,9224363000.0,34754245000.0,0.57464826,144.92493,25.232134,79.23367,5.0386786
3846,0.024,97,596405,2336583700.0,210634240.0,281017200.0,1844932200.0,0.06910502,65.29181,10.664712,38.883293,1.3316913
4092,0.024,97,672864,7420198400.0,825840060.0,1079130100.0,5509387000.0,0.2689858,80.658875,11.537897,43.6182,2.476757
4107,0.024,97,675731,8026253300.0,896226000.0,859320770.0,6266689000.0,0.48034778,90.07626,4.6249223,48.917965,2.1315093
4212,0.024,97,696264,5472936000.0,380190720.0,717333300.0,4369576400.0,0.09264446,82.51591,16.926271,43.820156,2.0958147
4327,0.024,97,713973,4121571300.0,282902720.0,580376640.0,3255175700.0,0.11486048,80.5237,17.553335,43.47288,1.8424412
4481,0.024,97,734321,2613731300.0,177153310.0,327569250.0,2105836400.0,0.040252022,73.17275,13.918185,39.101395,1.4119627
4489,0.024,97,735953,5268892700.0,414815700.0,771988160.0,4076910300.0,0.067819394,76.71845,13.855904,40.051792,2.1760397
