z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
1.074,48,461677,25190138000.0,4275488500.0,5037515300.0,15867961000.0,3.0271547,135.05862,5.512347,68.28655,2.975781
1.074,48,461917,19389067000.0,2652610000.0,530534620.0,16201463000.0,0.7596392,121.79797,24.45633,75.25339,4.4489603
1.074,48,462271,20440540000.0,3275779600.0,1900013800.0,15259486000.0,1.5108489,117.01263,16.939009,66.61616,3.5532947
1.074,48,462659,9698666000.0,1743881200.0,1608924200.0,6340650000.0,1.2222505,110.50884,15.774872,63.873734,2.0151117
1.074,48,462889,11672992000.0,1359344600.0,281219500.0,10030062000.0,0.41083547,115.17112,20.466951,74.302864,3.0542467
1.074,48,463120,8983619000.0,1155852900.0,639026050.0,7185979000.0,0.5422469,100.711716,27.002592,58.843433,2.432617
1.074,48,463263,20862812000.0,2719402200.0,830311040.0,17310419000.0,0.52202886,103.05017,25.487692,60.750706,4.949609
1.074,48,463621,19080882000.0,3113431000.0,2331626000.0,13629630000.0,1.6598172,119.56446,16.821295,68.202705,3.121661
1.074,48,463672,15139069000.0,2372494300.0,1127152400.0,11635869000.0,1.0063728,117.796394,22.450909,68.26322,3.4777
1.074,48,463729,32830532000.0,3239149800.0,5060620300.0,24521355000.0,2.4433398,134.32753,6.162585,70.11051,3.9566197
1.074,48,463766,14524417000.0,1834552700.0,2015615400.0,10667121000.0,1.0189853,112.58332,5.095439,62.19848,2.4670932
1.074,48,464007,16958659000.0,2008974200.0,1137581800.0,13807952000.0,0.6652374,113.815285,13.478973,67.302895,3.1441112
1.074,48,464133,17746657000.0,2181389600.0,3742838000.0,11811015000.0,1.7720011,134.26082,4.323794,70.39042,2.1230116
1.074,48,464182,13426503000.0,2035244000.0,994269900.0,10393512000.0,0.6387114,102.4386,24.691153,60.588444,3.2646928
1.074,48,464312,18712664000.0,2469985500.0,1090450300.0,15148319000.0,0.88720405,107.760765,16.267147,63.06316,3.8200495
1.074,48,464581,21621805000.0,2604690700.0,2236036400.0,16775453000.0,1.0610222,120.01246,10.4065485,64.114845,3.3794434
1.074,48,464665,10844024000.0,1568834000.0,2777906200.0,6487210000.0,1.2439151,117.45701,12.946031,65.23603,1.7319868
