,z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
6115,0.049,95,626972,31695389000.0,1369661700.0,7920272000.0,22384210000.0,0.28042415,132.68102,15.327158,68.86703,4.010412
6137,0.049,95,634156,32369838000.0,3346982700.0,6831329300.0,22174126000.0,0.7735052,125.02814,17.932629,64.62057,4.7098737
6176,0.049,95,645126,2741471000.0,246958370.0,295713250.0,2196131800.0,0.058895547,66.99585,14.438591,36.265446,1.6377128
6192,0.049,95,649939,2860343600.0,307384420.0,355466020.0,2197493000.0,0.08780993,63.13813,11.679768,37.48157,1.9434916
6214,0.049,95,657933,20295205000.0,938668540.0,4535967000.0,14805738000.0,0.35680947,116.69192,9.939253,59.636395,3.234117
6223,0.049,95,660340,14619993000.0,948632200.0,2534316000.0,11129035000.0,0.8349018,101.420364,0.40535194,55.499313,3.1928098
6330,0.049,95,687217,4132140500.0,424474660.0,606030100.0,3096818200.0,0.15006001,80.12242,25.301039,43.868435,1.8952492
6434,0.049,95,705546,5257494500.0,652419900.0,569643800.0,4031535000.0,0.15488847,77.354355,17.979927,42.476776,2.345886
6524,0.049,95,721842,6715135500.0,270517400.0,604716600.0,5836991500.0,0.053394277,88.45649,15.31116,47.07777,2.3866696
6539,0.049,95,724087,1771788200.0,98033620.0,254586420.0,1415688300.0,0.06826987,72.427055,11.521765,39.237617,1.1379098
6584,0.049,95,733264,5795949600.0,322356700.0,937180600.0,4532471300.0,0.07198751,80.075356,7.2387023,40.650154,2.078028
6655,0.049,95,746138,4557761500.0,258476340.0,625301900.0,3673983200.0,0.15301503,75.612206,2.44889,38.764793,1.7255485
6675,0.049,95,749918,7944055000.0,904434240.0,1247096300.0,5792525000.0,0.22356257,82.90575,8.135394,42.934673,2.5785577
6687,0.049,95,752201,5378905000.0,382014200.0,653178050.0,4343713000.0,0.11168033,78.24964,7.8211193,40.791878,2.0037334
6716,0.049,95,757055,3722581200.0,297836000.0,463143170.0,2961601800.0,0.08355433,74.39502,9.126821,38.45045,1.6963874
6731,0.049,95,759697,1912520000.0,128474536.0,215898200.0,1568147100.0,0.040534835,68.437546,7.1232467,37.171566,1.0581634
6819,0.049,95,772136,2094669700.0,184883840.0,227748430.0,1682037400.0,0.047252618,64.52685,14.081613,34.866993,1.4060509
6907,0.049,95,787310,470903520.0,52831220.0,108163650.0,309908700.0,0.029906154,57.327374,13.161151,30.68593,0.524146
6918,0.049,95,791015,860823040.0,83966070.0,146149740.0,630707260.0,0.036194816,57.710728,11.442739,31.738926,0.7639262
6933,0.049,95,796577,1201443000.0,75338340.0,184127360.0,941977200.0,0.043975063,61.058006,8.386511,32.30833,0.86072266
