z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
1.667,37,278586,51104140000.0,10660029000.0,5207863000.0,35231584000.0,5.9200883,155.45988,24.767992,87.07892,4.8490047
1.667,37,278881,29250880000.0,3519928300.0,14401487000.0,11297374000.0,16.488394,253.5002,0.7462895,101.91261,1.2442307
1.667,37,279003,57500676000.0,9250564000.0,9437925000.0,38800750000.0,5.315048,165.36305,11.220985,87.80473,4.605813
1.667,37,279228,26265879000.0,4749375000.0,3886729000.0,17623505000.0,5.780657,140.08362,17.776821,90.89469,2.972884
1.667,37,279229,5182700500.0,696002370.0,460154240.0,4026544000.0,0.44603723,78.24297,3.303276,46.39996,1.8271673
1.667,37,279537,41557385000.0,6441389600.0,10418770000.0,24677446000.0,7.3489366,183.49126,6.854555,99.49344,2.6937957
1.667,37,279741,16247379000.0,1986031000.0,5704382500.0,8523170000.0,3.2309506,166.85835,0.41308352,107.14398,1.271778
1.667,37,279742,6018947600.0,1204503700.0,859435840.0,3952583400.0,0.9639388,94.00962,3.0947485,57.030746,1.4702752
1.667,37,279951,7846520300.0,1043064060.0,1295010800.0,5502126600.0,0.7934465,111.78025,11.445121,65.190056,1.5017493
1.667,37,280125,27416306000.0,2967046100.0,4655696400.0,19780160000.0,2.2328365,158.15157,22.943405,92.72445,2.8698666
1.667,37,280330,55193227000.0,9817256000.0,5559265000.0,39805796000.0,4.9592834,155.28625,15.148064,85.509964,5.0898633
1.667,37,280584,37969744000.0,7811607600.0,5789922300.0,24357100000.0,7.917176,163.74643,9.868974,96.0572,3.1277485
1.667,37,280832,7774241000.0,598963260.0,224339090.0,6950939000.0,0.12348361,95.53519,39.37964,61.93854,2.795148
1.667,37,281031,22640785000.0,3435275300.0,9834992000.0,9343543000.0,9.76824,190.40048,2.0306938,101.56963,1.3887894
1.667,37,281034,1598973400.0,182495330.0,121032550.0,1295445600.0,0.104945995,58.005543,2.5876248,34.05724,1.0615529
1.667,37,281247,19851622000.0,2406372000.0,3899571700.0,13537066000.0,1.8658236,140.97858,4.8645725,75.1568,2.1530359
